train 1th process seed,train 2th process seed,train 3th process seed,train 4th process seed,evaluate 1th process seed,evaluate 2th process seed,evaluate 3th process seed,evaluate 4th process seed,training_highlevel_policy/Neg Reward Mean,training_highlevel_policy/Neg Reward Std,training_highlevel_policy/Neg Reward Max,training_highlevel_policy/Neg Reward Min,training_highlevel_policy/Neg Advantage,training_highlevel_policy/logprobs Mean,training_highlevel_policy/logprobs Std,training_highlevel_policy/logprobs Max,training_highlevel_policy/logprobs Min,training_highlevel_policy/cut_percent_actions Mean,training_highlevel_policy/cut_percent_actions Std,training_highlevel_policy/cut_percent_actions Max,training_highlevel_policy/cut_percent_actions Min,training_highlevel_policy/reinforce loss,training_highlevel_policy/Critic Value,training_highlevel_policypre_log_prob Mean,training_highlevel_policypre_log_prob Std,training_highlevel_policypre_log_prob Max,training_highlevel_policypre_log_prob Min,training_highlevel_policymean Mean,training_highlevel_policymean Std,training_highlevel_policymean Max,training_highlevel_policymean Min,training_highlevel_policystd Mean,training_highlevel_policystd Std,training_highlevel_policystd Max,training_highlevel_policystd Min,training_highlevel_policyentropy Mean,training_highlevel_policyentropy Std,training_highlevel_policyentropy Max,training_highlevel_policyentropy Min,pos_1_entropy,Epoch,training/Neg Reward Mean,training/Neg Reward Std,training/Neg Reward Max,training/Neg Reward Min,training/Neg Advantage,training/logprobs Mean,training/logprobs Std,training/logprobs Max,training/logprobs Min,training/raw_logprobs Mean,training/raw_logprobs Std,training/raw_logprobs Max,training/raw_logprobs Min,training/reinforce loss,training/Critic Value,training/len cuts Mean,training/len cuts Std,training/len cuts Max,training/len cuts Min,training/cut 1 th feature Mean,training/cut 1 th feature Std,training/cut 1 th feature Max,training/cut 1 th feature Min,training/cut 2 th feature Mean,training/cut 2 th feature Std,training/cut 2 th feature Max,training/cut 2 th feature Min,training/cut 3 th feature Mean,training/cut 3 th feature Std,training/cut 3 th feature Max,training/cut 3 th feature Min,training/cut 4 th feature Mean,training/cut 4 th feature Std,training/cut 4 th feature Max,training/cut 4 th feature Min,training/cut 5 th feature Mean,training/cut 5 th feature Std,training/cut 5 th feature Max,training/cut 5 th feature Min,training/cut 6 th feature Mean,training/cut 6 th feature Std,training/cut 6 th feature Max,training/cut 6 th feature Min,training/cut 7 th feature Mean,training/cut 7 th feature Std,training/cut 7 th feature Max,training/cut 7 th feature Min,training/cut 8 th feature Mean,training/cut 8 th feature Std,training/cut 8 th feature Max,training/cut 8 th feature Min,training/cut 9 th feature Mean,training/cut 9 th feature Std,training/cut 9 th feature Max,training/cut 9 th feature Min,training/cut 10 th feature Mean,training/cut 10 th feature Std,training/cut 10 th feature Max,training/cut 10 th feature Min,training/cut 11 th feature Mean,training/cut 11 th feature Std,training/cut 11 th feature Max,training/cut 11 th feature Min,training/cut 12 th feature Mean,training/cut 12 th feature Std,training/cut 12 th feature Max,training/cut 12 th feature Min,training/cut 13 th feature Mean,training/cut 13 th feature Std,training/cut 13 th feature Max,training/cut 13 th feature Min,training/sel cuts num Mean,training/sel cuts num Std,training/sel cuts num Max,training/sel cuts num Min,training/solving_time Mean,training/solving_time Std,training/solving_time Max,training/solving_time Min,training/ntotal_nodes Mean,training/ntotal_nodes Std,training/ntotal_nodes Max,training/ntotal_nodes Min,training/primal_dual_gap Mean,training/primal_dual_gap Std,training/primal_dual_gap Max,training/primal_dual_gap Min,training/primaldualintegral Mean,training/primaldualintegral Std,training/primaldualintegral Max,training/primaldualintegral Min,training/schedule_wait_penalty Mean,training/schedule_wait_penalty Std,training/schedule_wait_penalty Max,training/schedule_wait_penalty Min,time/evaluating (s),time/online_testing (s),time/sampling data (s),time/training (s),time/epoch (s),time/total (s)
717354021,1061650667,946286476,784077896,491263,550290313,224766667,1069620869,1734.5336755083035,2761.9389061849483,8181.9561629472855,0.039560000000000005,2.560333251953125,-0.74743354,0.39439452,0.3613348,-1.1186534,-0.15308042999822646,0.6394002213939882,0.9057125449180603,-0.9743047952651978,-20.809921264648438,1734.5336755083035,-1.4877308048307896,0.4255009923379162,-1.0948498249053955,-2.559826374053955,-0.13243099162355065,0.007694818233995578,-0.1198643147945404,-0.14469896256923676,1.2069391161203384,0.017616406677922233,1.232832670211792,1.1801526546478271,1.6069197170436382,0.014574508097461693,1.6282529830932617,1.5845823287963867,4.850386619567871,11,1734.5336755083035,2761.9389061849483,8181.9561629472855,0.039560000000000005,1563.6407470703125,-4.677927,0.14582872,-4.3772693,-4.8458786,-71.02988,10.593193,-38.313503,-77.53406,-7510.046875,173.453369140625,119.0,14.38749456993816,128,96,0.0005191090828489868,0.004333635800134193,0.04993761694389223,0.0,1.3544042301479526,0.969993704239297,7.280784013176501,0.0005935523759488258,0.026579376865877535,0.019430275421790755,0.0980372933864042,0.003072191901394929,0.6747654779111176,0.24486767307677706,0.9523356030665205,0.0,0.8033756340342276,0.4005513787791066,2.19435736677116,0.0006851350181770134,-146.91268571345364,380.23218175053245,134.80374712162444,-2366.5,81.50207462655082,251.8842248121483,1038.0,-1.0,-458.7058891659121,949.0364892980004,-0.010101010101010102,-4732.0,189.3799860692282,407.48157141101603,2365.5,0.25908400405079257,0.0009111141659150217,0.0003848556945169126,0.0014619883040935672,0.0004520795660036166,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.029471216943353695,0.006448511057900905,0.038207995161906365,0.021257356140160482,15.09375,2.441303122821908,16,8,58.53125,108.05437993638897,300.0,0.0,35938.8125,73053.095639164,280423,1,0.0014819671430999224,0.005900547418371583,0.02918586651235425,0.0,1715.9950549614673,2752.8561915074065,8144.6082029472955,0.0,18.538620546836327,11.414525500104421,40.25136523508401,0.03764000000000001,2.0000006770715117e-06,0.003954799998609815,622.6316098999996,5.154645700000401,627.7902123999993,627.7912135000006
630311759,1013994432,396591248,629559425,799981516,592322119,410430189,729053692,1734.5336755083035,2761.9389061849483,8181.9561629472855,0.039560000000000005,2.560333251953125,-0.74743354,0.39439452,0.3613348,-1.1186534,-0.15308042999822646,0.6394002213939882,0.9057125449180603,-0.9743047952651978,-20.809921264648438,1734.5336755083035,-1.4877308048307896,0.4255009923379162,-1.0948498249053955,-2.559826374053955,-0.13243099162355065,0.007694818233995578,-0.1198643147945404,-0.14469896256923676,1.2069391161203384,0.017616406677922233,1.232832670211792,1.1801526546478271,1.6069197170436382,0.014574508097461693,1.6282529830932617,1.5845823287963867,4.850384712219238,12,2813.7771551151527,3029.1972695376953,12633.07499946266,16.1882,2985.8486328125,-4.8114576,0.048637696,-4.731441,-4.8982177,-74.27062,10.489119,-33.758007,-78.37148,-14362.142578125,437.4857482910156,123.0,11.61895003862225,128,96,0.0002903573137465867,0.003209421911055256,0.04993761694389223,0.0,1.5195173416686034,1.057078488704748,7.280784013176501,0.0005935523759488258,0.020987496126323196,0.016798471960812265,0.0980372933864042,0.003072191901394929,0.699083544690537,0.25868181648917166,0.9523356030665205,0.0,0.8611902589858504,0.321312926825466,2.19435736677116,0.0006851350181770134,-140.19415210828706,326.83555675311214,134.80374712162444,-2366.5,117.5073278849909,307.5144512626671,1038.0,-1.0,-482.7837096239545,867.0800117246687,-0.010101010101010102,-4732.0,193.3120285998417,361.81377013938,2365.5,0.25908400405079257,0.000746578989122097,0.0003532954427627124,0.0014619883040935672,0.0004520795660036166,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.026633602279949452,0.006045495915034001,0.038207995161906365,0.021257356140160482,14.84375,3.447003907381017,16,3,94.46875,114.97689560706316,300.0,0.0,74124.75,106504.5152599175,407994,1,0.010841781569847244,0.047680962277794156,0.2737642585550844,0.0,2789.925554849793,3018.6533002521223,12586.359779277724,0.0,23.851600265359664,12.67296555292428,46.715220184937294,0.03764000000000001,2.6000016077887267e-06,0.007520399998611538,975.5955969999995,4.302381500001502,979.9055015000013,1607.7082935000071
630361478,796884249,166716594,413652244,726684926,271757669,795511698,105433556,1490.7163839369273,1952.6759433569425,7189.6330783948815,16.1882,-54.409507751464844,-0.49541712,0.4356652,0.20696521,-1.1650476,-0.045478408224880695,0.7252954442483899,0.9868251085281372,-0.9941721558570862,231.50192260742188,1710.1519463511659,-1.644495401531458,0.6003560296954703,-1.1387165784835815,-3.7042808532714844,-0.16956901969388127,0.011727235512983372,-0.14922834932804108,-0.18520444631576538,1.24381797388196,0.01396365311547644,1.260230302810669,1.2164466381072998,1.6370609179139137,0.011261602047050531,1.6502330303192139,1.6148725748062134,4.556769847869873,13,1490.7163839369273,1952.6759433569425,7189.6330783948815,16.1882,1112.9337158203125,-4.7328367,0.15444967,-4.391815,-4.8734436,-66.5018,21.719704,-4.391815,-77.9751,-5390.451171875,542.8087768554688,121.0,13.228756555322953,128,96,0.00041405417253771634,0.0038331307091927173,0.04993761694389223,0.0,1.3998285585989214,0.9800682822765081,7.280784013176501,0.0005935523759488258,0.02480041724400286,0.01845061025073944,0.0980372933864042,0.003072191901394929,0.6823761809182806,0.2481873439114941,0.9523356030665205,0.0,0.8299263948876496,0.36790005301715545,2.19435736677116,0.0006851350181770134,-152.49565302124506,380.46618220998147,134.80374712162444,-2366.5,86.98465430991865,258.9184652184029,1038.0,-1.0,-478.99931650615673,959.4423970600157,-0.010101010101010102,-4732.0,196.50964666892477,409.5453098384316,2365.5,0.25908400405079257,0.0008794945903192762,0.00036041412735600897,0.0014619883040935672,0.0004520795660036166,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02901173788346574,0.006075380335646156,0.038207995161906365,0.021257356140160482,13.4375,4.974544577144726,16,1,54.875,97.90740204397214,300.0,0.0,41421.625,83885.8121912423,307177,1,0.0030092267505752272,0.007965265526943422,0.024464831804331445,0.0,1471.852803671888,1943.6947020061498,7153.828625914976,0.0,18.863580265039428,11.365307585892754,39.717945027066726,0.037520000000000005,2.5000008463393897e-06,0.008347799997864058,656.6422935999981,2.7218799000002036,659.372523799997,2267.093314000009
878115723,830873852,550260202,986026652,117628829,147806606,732152370,704211524,1490.7163839369273,1952.6759433569425,7189.6330783948815,16.1882,-54.409507751464844,-0.49541712,0.4356652,0.20696521,-1.1650476,-0.045478408224880695,0.7252954442483899,0.9868251085281372,-0.9941721558570862,231.50192260742188,1710.1519463511659,-1.644495401531458,0.6003560296954703,-1.1387165784835815,-3.7042808532714844,-0.16956901969388127,0.011727235512983372,-0.14922834932804108,-0.18520444631576538,1.24381797388196,0.01396365311547644,1.260230302810669,1.2164466381072998,1.6370609179139137,0.011261602047050531,1.6502330303192139,1.6148725748062134,4.5532941818237305,14,1353.262000057152,1874.3274312447131,6288.085152013066,15.220886073298429,538.3326416015625,-4.760994,0.08979689,-4.447036,-4.8569975,-63.978363,24.431854,-4.7691383,-77.71196,-2568.00634765625,623.8541259765625,124.0,10.583005244258363,128,96,0.00028443246167204927,0.003030625999698043,0.04993761694389223,0.0,1.4410875755501253,0.9623111833208687,7.280784013176501,0.0005935523759488258,0.022677665120592532,0.016939114190318603,0.0980372933864042,0.003072191901394929,0.6911641578038743,0.2527979938257631,0.9523356030665205,0.0,0.8822211815114708,0.30262804838915114,2.19435736677116,0.0006851350181770134,-180.35948646504139,421.3855242304861,134.80374712162444,-2366.5,70.99194797145783,236.733855085513,1038.0,-1.0,-536.0512461854607,1034.3963364479807,-0.010101010101010102,-4732.0,219.64864104297712,447.4462697619285,2365.5,0.25908400405079257,0.0008391088857278351,0.00033017193662231257,0.0014619883040935672,0.0004520795660036166,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.028398636845256467,0.005640318592884307,0.038207995161906365,0.021257356140160482,14.375,4.18889902002901,16,1,38.65625,68.50803300298075,232.0,0.0,34108.4375,68984.89345589434,236485,1,0.0,0.0,0.0,0.0,1335.7784143281178,1865.2113703337295,6252.277943406748,0.0,17.483585729033997,11.778651414660926,39.27691999998281,0.03652299463425561,1.6999983927235007e-06,0.007670999999390915,607.5007251999996,3.0583861000013712,610.5667839999987,2877.6721962000047
718568663,889937879,252070889,776094449,602957303,812297694,850839392,121930838,1395.5810535839375,1802.1821693343454,6950.231990615652,0.037519843778610236,-711.5247802734375,-0.73451734,0.45968038,0.29453206,-1.1376339,-0.019616601523011923,0.6850268313463911,0.9847613573074341,-0.9803121089935303,275.8349609375,1678.694857074443,-1.6222487352788448,0.5742182358238272,-1.1365740299224854,-3.390458106994629,-0.19658941077068448,0.007840764587474243,-0.1764853298664093,-0.20634552836418152,1.2463915534317493,0.009388402264724517,1.255318522453308,1.223527193069458,1.639162603765726,0.007567011707585626,1.6463278532028198,1.6206763982772827,4.835858345031738,15,1395.5810535839375,1802.1821693343454,6950.231990615652,0.037519843778610236,266.14324951171875,-4.7236195,0.13712831,-4.384491,-4.8784895,-64.70784,19.416069,-17.757504,-76.9395,-1308.8760986328125,701.0267944335938,124.0,10.583005244258363,128,96,0.0003059993219180249,0.0030981176178263453,0.04993761694389223,0.0,1.4270258770445472,0.9475607257238716,7.280784013176501,0.0005935523759488258,0.023049373715084424,0.017194251291584715,0.0980372933864042,0.003072191901394929,0.6898736885944659,0.25383283365644144,0.9523356030665205,0.0,0.8960246792506674,0.2911670041420254,2.19435736677116,0.0006851350181770134,-198.73867490005918,455.49516449718743,134.80374712162444,-2366.5,60.73112782415299,227.69678179090138,1038.0,-1.0,-571.4489276370737,1085.00640874262,-0.010101010101010102,-4732.0,235.87222667808084,478.04542233539416,2365.5,0.25908400405079257,0.0008279316052123922,0.000353448218651572,0.0014619883040935672,0.0004520795660036166,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.028114863423451788,0.006056043552259789,0.038207995161906365,0.021257356140160482,13.75,4.2130748865881795,16,3,47.8125,81.70351793986596,281.0,0.0,46474.125,91302.00520995897,333036,4,0.0,0.0,0.0,0.0,1378.317067248452,1791.7246107522942,6911.6221556156515,0.0,17.263986335485335,13.048727685607508,39.18869274147821,0.036731573280001435,1.7000020307023078e-06,0.00756080000064685,672.8230567999999,2.685110700000223,675.5157300000028,3553.1954261000137
217946253,927586281,937426313,226591751,272404799,398576445,826019350,77964601,1395.5810535839375,1802.1821693343454,6950.231990615652,0.037519843778610236,-711.5247802734375,-0.73451734,0.45968038,0.29453206,-1.1376339,-0.019616601523011923,0.6850268313463911,0.9847613573074341,-0.9803121089935303,275.8349609375,1678.694857074443,-1.6222487352788448,0.5742182358238272,-1.1365740299224854,-3.390458106994629,-0.19658941077068448,0.007840764587474243,-0.1764853298664093,-0.20634552836418152,1.2463915534317493,0.009388402264724517,1.255318522453308,1.223527193069458,1.639162603765726,0.007567011707585626,1.6463278532028198,1.6206763982772827,4.849072456359863,16,1024.1322580228662,1708.1464768210967,6950.249735751916,3.6098950437244097,534.0484619140625,-4.7149143,0.1287615,-4.4230075,-4.890967,-72.01445,9.303579,-39.807068,-78.25547,-2557.38330078125,733.3372802734375,122.0,12.489995996796797,128,96,0.00040690939075094576,0.0036775623904739315,0.04993761694389223,0.0,1.3460423433041775,0.9032972657383321,7.280784013176501,0.0005935523759488258,0.026133710223060484,0.01818068475711508,0.0980372933864042,0.003072191901394929,0.6770235492015739,0.2441942559725803,0.9523356030665205,0.0,0.8539328786817645,0.3475377957454889,2.19435736677116,0.0006851350181770134,-191.0249994804579,459.5840576262689,134.80374712162444,-2366.5,63.8595572282507,222.00725519307247,1038.0,-1.0,-548.100414266358,1100.4361204088914,-0.010101010101010102,-4732.0,229.50057796474212,483.64598972856436,2365.5,0.25908400405079257,0.0009300436799768194,0.00034009289067675637,0.0014619883040935672,0.0004520795660036166,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02993609176255021,0.005735280772554996,0.038207995161906365,0.021257356140160482,14.03125,4.23146232849827,16,1,40.4375,86.59457889354275,300.0,0.0,45937.1875,106321.82626507054,355833,1,0.0004699248120060145,0.0018200109708689453,0.007518796992486699,0.0,1008.427965888922,1699.065669442882,6910.970255751917,0.0,15.704292133944232,12.204467716248104,39.27947999999954,0.03424000000000001,1.6000012692529708e-06,0.00815130000046338,810.8192647000033,2.4913140999997267,813.3187317000047,4366.5325553000075
542837249,494008192,621080892,339933393,365262088,341893848,167739021,98998899,1128.1725374518296,1417.8586326773611,5264.011512163336,0.03751984568595887,-243.119873046875,-0.664502,0.5390648,0.98379326,-1.1599461,-0.12261854996904731,0.6774625248864179,0.9606600999832153,-0.9937033653259277,30.69934844970703,1623.6426251121816,-1.5889857113361359,0.5616113247169333,-1.1348791122436523,-3.3938722610473633,-0.21166566712781787,0.009463052490744408,-0.19320590794086456,-0.22129738330841064,1.2456087470054626,0.010665258614700746,1.255030870437622,1.2241299152374268,1.6385260112583637,0.008602210368783912,1.6460987329483032,1.621168851852417,4.840808391571045,17,1128.1725374518296,1417.8586326773611,5264.011512163336,0.03751984568595887,607.701904296875,-4.7745595,0.09950769,-4.4315515,-4.95324,-71.17454,15.303736,-14.859719,-77.31135,-2929.601318359375,772.82080078125,122.0,12.489995996796797,128,96,0.00032975105929446185,0.0034733303507811612,0.04993761694389223,0.0,1.473987925238395,1.0241552019105054,7.280784013176501,0.0005935523759488258,0.021984282322440613,0.01756015086676885,0.0980372933864042,0.003072191901394929,0.6931302168752066,0.2542542557603554,0.9523356030665205,0.0,0.8400461476824178,0.35134425050783025,2.19435736677116,0.0006851350181770134,-131.51495067867657,310.0707402089793,134.80374712162444,-2366.5,85.06179621500985,252.44465848093242,1038.0,-1.0,-434.1285904958663,848.3812606297336,-0.010101010101010102,-4732.0,172.6238698309464,344.3478291417545,2365.5,0.25908400405079257,0.0008191167316753644,0.00033679321528897366,0.0014619883040935672,0.0004520795660036166,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.028041934560614868,0.005655285658884315,0.038207995161906365,0.021257356140160482,13.59375,4.505963929893358,16,2,32.125,59.00940073412032,275.0,0.0,29065.25,65490.88261115054,329042,1,0.0,0.0,0.0,0.0,1107.5036049669297,1409.7207835698362,5230.937872163337,0.0,20.66893248489979,10.590291172238615,48.80178999999992,0.03649760770571218,1.6000012692529708e-06,0.00813199999902281,463.86301150000145,2.679124900001625,466.55027000000337,4833.091877800016
729416111,254447594,550367865,732412360,422396446,399713351,734901635,737248710,1128.1725374518296,1417.8586326773611,5264.011512163336,0.03751984568595887,-243.119873046875,-0.664502,0.5390648,0.98379326,-1.1599461,-0.12261854996904731,0.6774625248864179,0.9606600999832153,-0.9937033653259277,30.69934844970703,1623.6426251121816,-1.5889857113361359,0.5616113247169333,-1.1348791122436523,-3.3938722610473633,-0.21166566712781787,0.009463052490744408,-0.19320590794086456,-0.22129738330841064,1.2456087470054626,0.010665258614700746,1.255030870437622,1.2241299152374268,1.6385260112583637,0.008602210368783912,1.6460987329483032,1.621168851852417,4.848572731018066,18,1471.4940268540506,2159.5023647131316,7597.830724618608,7.202767655757159,721.560302734375,-4.7720222,0.09313191,-4.508169,-4.934607,-66.973206,19.199299,-19.138447,-78.95371,-3542.567626953125,842.6881103515625,124.0,10.583005244258363,128,96,0.00029528243213567973,0.0030645829960376943,0.04993761694389223,0.0,1.4244486144554365,0.951476726103567,7.280784013176501,0.0005935523759488258,0.023437818687685696,0.017021892880649734,0.0980372933864042,0.003072191901394929,0.6886378384912434,0.2509342967605668,0.9523356030665205,0.0,0.8811398101453821,0.30286810559583166,2.19435736677116,0.0006851350181770134,-187.1589220563567,438.4788774187277,134.80374712162444,-2366.5,79.52831571657252,251.76782018956675,1038.0,-1.0,-556.817879249977,1065.337563964193,-0.010101010101010102,-4732.0,230.10360249613936,464.5638773793706,2365.5,0.25908400405079257,0.0008544881625931974,0.00033447709667430416,0.0014619883040935672,0.0004520795660036166,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.028647306245895777,0.0057426459492856035,0.038207995161906365,0.021257356140160482,13.71875,4.40336785171305,16,2,49.65625,88.0644683509615,300.0,0.0,42290.0,80251.76436806546,259976,1,0.0007645259938823778,0.004256700583195506,0.02446483180423609,0.0,1454.0262516316302,2149.0917091893275,7564.990534149705,0.0,17.46777522242038,13.229440059861979,41.596920000000004,0.03715460475066664,1.6000012692529708e-06,0.008361399999557761,528.3944865000012,2.5164986999989196,530.919348200001,5364.023105000015
892878741,694873649,142443833,848474627,824105924,170208024,281387505,610401323,1426.7268676879087,1956.3657110757786,6219.490962686122,16.1882,90.43862915039062,-0.68695724,0.3530195,0.09652066,-1.126803,-0.1765030447859317,0.6988550294568935,0.971016526222229,-0.999134361743927,-320.66357421875,1603.9510493697542,-1.637172918766737,0.7650189329827829,-1.1579415798187256,-5.276543617248535,-0.23466390743851662,0.010310480641043295,-0.21598301827907562,-0.24554863572120667,1.263631947338581,0.010308726961316754,1.2704628705978394,1.2440569400787354,1.6528950445353985,0.008203101306243953,1.6583198308944702,1.6373162269592285,4.848055362701416,19,1426.7268676879087,1956.3657110757786,6219.490962686122,16.1882,793.2978515625,-4.777858,0.07147572,-4.5205817,-4.8516498,-65.19089,21.372555,-9.609047,-77.626396,-3814.007568359375,901.0919189453125,121.0,13.228756555322953,128,96,0.00039182647094459827,0.003778056687169267,0.04993761694389223,0.0,1.4381123016104558,1.0172630875675666,7.280784013176501,0.0005935523759488258,0.02369087244670297,0.018258698558371374,0.0980372933864042,0.003072191901394929,0.6869458416553235,0.2508804662156788,0.9523356030665205,0.0,0.824351928969867,0.3688232903164376,2.19435736677116,0.0006851350181770134,-134.44443933029308,331.97928568230293,134.80374712162444,-2366.5,99.99075073605033,276.4510555191474,1038.0,-1.0,-449.1527255970659,880.6804945302977,-0.010101010101010102,-4732.0,181.6308086011241,366.05028642621375,2365.5,0.25908400405079257,0.0008462369304590816,0.00036049421228915814,0.0014619883040935672,0.0004520795660036166,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.028432770208624263,0.006080167407488309,0.038207995161906365,0.021257356140160482,13.53125,4.841128322767328,16,1,47.875,79.53920024113896,231.0,0.0,46269.90625,87496.33938105617,348530,1,0.0,0.0,0.0,0.0,1406.118672072536,1946.7345009565072,6183.688941864053,0.0,20.608195615372914,11.584583409767404,45.18277780248067,0.03764000000000001,1.4999968698248267e-06,0.009740000001329463,679.2978040999988,3.3737123000028078,682.6812578999998,6046.712508100009
801015372,143084570,363464500,698099024,78547565,146764659,619817,532704722,1426.7268676879087,1956.3657110757786,6219.490962686122,16.1882,90.43862915039062,-0.68695724,0.3530195,0.09652066,-1.126803,-0.1765030447859317,0.6988550294568935,0.971016526222229,-0.999134361743927,-320.66357421875,1603.9510493697542,-1.637172918766737,0.7650189329827829,-1.1579415798187256,-5.276543617248535,-0.23466390743851662,0.010310480641043295,-0.21598301827907562,-0.24554863572120667,1.263631947338581,0.010308726961316754,1.2704628705978394,1.2440569400787354,1.6528950445353985,0.008203101306243953,1.6583198308944702,1.6373162269592285,4.847663402557373,20,1720.1989770631808,2193.75957068243,6757.074680915232,16.1882,663.1790771484375,-4.7518697,0.111112915,-4.3975525,-4.888021,-65.694595,19.874962,-18.32651,-78.208336,-3203.384033203125,983.0026245117188,124.0,10.583005244258363,128,96,0.0002952705679727603,0.003064581988164856,0.04993761694389223,0.0,1.430107790148242,0.9636844980076413,7.280784013176501,0.0005935523759488258,0.023586309012463315,0.01694988290968787,0.0980372933864042,0.003072191901394929,0.6887513382675275,0.2507458382540389,0.9523356030665205,0.0,0.8779904569705459,0.30304609337197336,2.19435736677116,0.0006851350181770134,-184.97352480923814,436.24656014415194,134.80374712162444,-2366.5,96.88364226345921,278.62478921194713,1038.0,-1.0,-564.8047744112671,1061.494213659081,-0.010101010101010102,-4732.0,233.99916626257982,463.5664249503399,2365.5,0.25908400405079257,0.0008472869824677444,0.00034178197927191745,0.0014619883040935672,0.0004520795660036166,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0284874176489503,0.005909256130005274,0.038207995161906365,0.021257356140160482,14.625,3.2282928925362393,16,4,59.21875,94.20447653077586,286.0,0.0,46131.8125,79108.27962018162,243201,1,0.0,0.0,0.0,0.0,1701.303256748294,2181.5699909352284,6712.316040547657,0.0,18.89572031488676,14.481346668319846,46.466909999994904,0.03764000000000001,1.5999976312741637e-06,0.007708100001764251,588.1577668999998,2.9311008999975456,591.0965774999968,6637.825395200009
