method,suite,family,scale,split,runs,completed,with_incumbent,optimal,mean_time,std_time,median_time,shifted_geomean_time,mean_nodes,mean_gap,std_gap,median_gap,mean_primal_dual_integral,std_primal_dual_integral,median_primal_dual_integral,mean_speedup_vs_scip,std_speedup_vs_scip,median_speedup_vs_scip,speedup_95ci_low,speedup_95ci_high,mean_node_reduction_factor
adaptive_cutsel,facility_location_transfer,facility_location,all,test,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.5274417635693284,0.0,0.5274417635693284,0.0,0.0,0.0,,,,,,1.0
adaptive_cutsel,independent_set_transfer,independent_set,all,test,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.06985738457819676,0.0,0.06985738457819676,0.0,0.0,0.0,,,,,,1.0
adaptive_cutsel,knapsack_transfer,knapsack,all,test,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0017959968536256693,0.0,0.0017959968536256693,0.0,0.0,0.0,,,,,,1.0
adaptive_cutsel,petri_large,dual_source_cluster_tool,large,test,1,1,0,0,1.0,0.0,1.0,1.0,1.0,,,,,,,2.0,0.0,2.0,2.0,2.0,1.0
adaptive_cutsel,quick_facility,facility_location,smoke,test,1,1,1,0,1.0,0.0,1.0,1.0,1.0,0.5274417635693284,0.0,0.5274417635693284,34.55537461690119,0.0,34.55537461690119,0.0,0.0,0.0,0.0,0.0,1.0
adaptive_cutsel,quick_independent_set,independent_set,smoke,test,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.06985738457819676,0.0,0.06985738457819676,0.0,0.0,0.0,,,,,,1.0
adaptive_cutsel,quick_knapsack,knapsack,smoke,test,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0017959968536256693,0.0,0.0017959968536256693,0.0,0.0,0.0,,,,,,1.0
adaptive_cutsel,quick_petri,dual_source_cluster_tool,smoke,test,1,1,0,0,2.0,0.0,2.0,2.0000000000000004,1.0,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0
adaptive_cutsel,quick_setcover,setcover,smoke,test,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0
adaptive_cutsel,setcover_transfer,setcover,all,test,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0
scip_default,facility_location_transfer,facility_location,all,test,1,1,1,0,1.0,0.0,1.0,1.0,1.0,0.7243465555548158,0.0,0.7243465555548158,100.0,0.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0
scip_default,independent_set_transfer,independent_set,all,test,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0681653372008702,0.0,0.0681653372008702,0.0,0.0,0.0,,,,,,1.0
scip_default,knapsack_transfer,knapsack,all,test,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0017959968536256693,0.0,0.0017959968536256693,0.0,0.0,0.0,,,,,,1.0
scip_default,petri_large,dual_source_cluster_tool,large,test,1,1,0,0,2.0,0.0,2.0,2.0000000000000004,1.0,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0
scip_default,quick_facility,facility_location,smoke,test,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.7243465555548158,0.0,0.7243465555548158,0.0,0.0,0.0,,,,,,1.0
scip_default,quick_independent_set,independent_set,smoke,test,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0681653372008702,0.0,0.0681653372008702,0.0,0.0,0.0,,,,,,1.0
scip_default,quick_knapsack,knapsack,smoke,test,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0017959968536256693,0.0,0.0017959968536256693,0.0,0.0,0.0,,,,,,1.0
scip_default,quick_petri,dual_source_cluster_tool,smoke,test,1,1,0,0,2.0,0.0,2.0,2.0000000000000004,1.0,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0
scip_default,quick_setcover,setcover,smoke,test,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0
scip_default,setcover_transfer,setcover,all,test,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0
