path,group,total_wafers,full_wafers,mix_wafers,lp_bytes,variables,binary_variables,integer_variables,continuous_variables,constraints,parse_time_seconds,lp_sha256
D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n008_f008_m000_proc090.lp,core,8,8,0,484999,892,364,0,528,3137,0.005754699999670265,268c591b4e57d8c9f14288693d8c6ded915d549ae1ff676b052cd2eed9c04d31
D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n008_f008_m000_proc100.lp,core,8,8,0,484999,892,364,0,528,3137,0.00534109999989596,1522e910fe272d70e2ceb7cc3d49f37afe6f15f1ef5c6bd6fde939094eb0269d
D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n008_f008_m000_proc110.lp,core,8,8,0,484999,892,364,0,528,3137,0.005265899999358226,738409529ee4dd1a1eb88e41b656f9791549c9d5792ecf921af31b6f2a464223
D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n016_f016_m000_proc090.lp,core,16,16,0,2233824,2466,1302,0,1164,13441,0.02243189999990136,7f5ba05fb3d00d49922221f4ff04990943b956b712c65425a0b4caa3e6a90c17
D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n016_f016_m000_proc100.lp,core,16,16,0,2233824,2466,1302,0,1164,13441,0.02145920000020851,97c8ffd4d89187642233298e2b32b17428d47d8eb058ba61ddecddca68d54393
D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n016_f016_m000_proc110.lp,core,16,16,0,2233824,2466,1302,0,1164,13441,0.021360700000514043,132ad384d40d03d4ae5b2dd007bdea57a127b8fee2d1e0c8c509c8c5c3bec20a
D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n024_f024_m000_proc090.lp,core,24,24,0,6754117,5832,3952,0,1880,37554,0.06338189999951283,d792ef7c772f1a2c85d22f9aa0a747cdfa039e4e07b2080727f30d9d32e3ee8e
D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n024_f024_m000_proc100.lp,core,24,24,0,6754117,5832,3952,0,1880,37554,0.06254869999975199,16dec2f0f7d382f2f4b3fa8361b9677a9dc08144aff1be5321bb3246c17ab1f8
D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n024_f024_m000_proc110.lp,core,24,24,0,6754117,5832,3952,0,1880,37554,0.06276220000017929,557a86b5b5ccb49afa324af669d00ed1b81f16babd3e7afef63191ff9efd60b9
D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n032_f032_m000_proc090.lp,core,32,32,0,14069966,9702,6946,0,2756,77746,0.12786640000012994,f3443c7247600b47de5301544c0a658886b337e121f4147f3983421726851dc9
