group,total_wafers,instances,lp_bytes_mean,lp_bytes_max,variables_mean,variables_max,binary_variables_mean,binary_variables_max,integer_variables_mean,integer_variables_max,continuous_variables_mean,continuous_variables_max,constraints_mean,constraints_max,parse_time_seconds_mean,parse_time_seconds_max
core,16,15,1497710.2,2233824.0,2645.2,3457.0,1632.4,2401.0,0.0,0.0,1012.8,1164.0,8727.0,13441.0,0.015122780000153095,0.02243189999990136
core,24,15,4379241.8,6754117.0,6711.2,9362.0,4962.4,7500.0,0.0,0.0,1748.8,1880.0,23670.8,37554.0,0.042085546666627734,0.06338189999951283
core,32,15,7679185.8,14069966.0,9984.0,13663.0,7547.2,11145.0,0.0,0.0,2436.8,2756.0,41630.8,77746.0,0.07245707333319538,0.1294213999999556
core,8,15,489203.8,646627.0,1163.6,1450.0,644.6,900.0,0.0,0.0,519.0,550.0,2947.0,3652.0,0.005365753333171597,0.006793699999434466
ood,40,3,11098234.666666666,16827614.0,15796.333333333334,18396.0,12720.0,15113.0,0.0,0.0,3076.3333333333335,3283.0,58346.0,88928.0,0.10824403333329731,0.16819779999968887
ood,48,3,16253474.0,24260066.0,21610.0,23389.0,17731.333333333332,19548.0,0.0,0.0,3878.6666666666665,4050.0,85374.33333333333,129223.0,0.15520519999972748,0.2297270999997636
ood,64,3,31769997.0,52498971.0,36475.0,44323.0,30717.0,38135.0,0.0,0.0,5758.0,6188.0,166527.66666666666,276959.0,0.3145777333335597,0.5091024000003017
sensitivity,24,8,3488553.875,4319588.0,6725.375,8506.0,5127.375,6784.0,0.0,0.0,1598.0,1722.0,18271.5,21881.0,0.03465222499994525,0.041618900000685244
validation,16,1,1267724.0,1267724.0,2722.0,2722.0,1776.0,1776.0,0.0,0.0,946.0,946.0,7137.0,7137.0,0.013192800000069838,0.013192800000069838
validation,4,2,210620.0,284813.0,586.5,801.0,291.5,469.0,0.0,0.0,295.0,332.0,1331.0,1695.0,0.0023614500000803673,0.0030692000000271946
validation,8,1,418035.0,418035.0,1115.0,1115.0,627.0,627.0,0.0,0.0,488.0,488.0,2507.0,2507.0,0.004723299999568553,0.004723299999568553
