family,training_seed,checkpoint,checkpoint_sha256,checkpoint_size,variant,variant_sha256,experiment_seed,parser_seed,scip_seed,training_path,epoch,reward_type,feature_dim,candidate_count
hem,1,cie/models/hem/cie_hem13_all_cie_hem/cie_hem13_all_cie_hem_2026_08_02_14_15_39_0000--s-1/itr_60.pkl,020333c64dfc6a602566c0916bdaf5eed41628495b2b389ce851534da4ae9d73,1357205,cie/models/hem/cie_hem13_all_cie_hem/cie_hem13_all_cie_hem_2026_08_02_14_15_39_0000--s-1/variant.json,6aa6557b19df46ff2a38e088a762ff5d7e88145f5f867c4954a290ce52f5c1ae,1,1,1,cie/data/policy_training/train,60,primaldualintegral,13,1
hem,2,cie/models/hem/cie_hem13_all_cie_hem/cie_hem13_all_cie_hem_2026_08_02_14_23_31_0000--s-2/itr_60.pkl,52064c7c7526efd19a589c5d303e6cbc6246527dc13a79704933076a574adcfc,1357205,cie/models/hem/cie_hem13_all_cie_hem/cie_hem13_all_cie_hem_2026_08_02_14_23_31_0000--s-2/variant.json,39bef30f8e8bd48d87db1886ceba2c9dcb0230edc1e22ba8cc3b7f7ea9541746,2,2,2,cie/data/policy_training/train,60,primaldualintegral,13,1
hem,3,cie/models/hem/cie_hem13_all_cie_hem/cie_hem13_all_cie_hem_2026_08_02_14_30_45_0000--s-3/itr_60.pkl,a4b2e392482e8f68430a05519ce14a1a833abd1cbd72931980ae04135dc2a8bf,1357205,cie/models/hem/cie_hem13_all_cie_hem/cie_hem13_all_cie_hem_2026_08_02_14_30_45_0000--s-3/variant.json,694b4916ecf8e9d5b98d4598bdf9ff8608a1142f7d00173cc25a786b25dd780b,3,3,3,cie/data/policy_training/train,60,primaldualintegral,13,1
hem,4,cie/models/hem/cie_hem13_all_cie_hem/cie_hem13_all_cie_hem_2026_08_02_14_38_36_0000--s-4/itr_60.pkl,e1674df7596b8aafadeec722e38cac9189a0d2a1ee1d06546352637b7313b74e,1357205,cie/models/hem/cie_hem13_all_cie_hem/cie_hem13_all_cie_hem_2026_08_02_14_38_36_0000--s-4/variant.json,46ef0a2162a269389b01ae4464412a9a1745a824a7481d6b263ab8e7b91333da,4,4,4,cie/data/policy_training/train,60,primaldualintegral,13,1
hem,5,cie/models/hem/cie_hem13_all_cie_hem/cie_hem13_all_cie_hem_2026_08_02_14_46_22_0000--s-5/itr_60.pkl,b8c678e0d19f949d775150903bc85a6baf94d086e5fe6a4ed63b9f1c78e4d63d,1357205,cie/models/hem/cie_hem13_all_cie_hem/cie_hem13_all_cie_hem_2026_08_02_14_46_22_0000--s-5/variant.json,2d76f6ee5f7146fd7f45f637405d1fbe5214226063213bb1020a9fb9c6bc3a06,5,5,5,cie/data/policy_training/train,60,primaldualintegral,13,1
feature_only,1,cie/models/feature_only/cie_feature_only_all_cie_feature_only/cie_feature_only_all_cie_feature_only_2026_08_02_15_48_39_0000--s-1/itr_60.pkl,baae33c3f330c558646fa04479b0877e63cd9a96a9d5da157e4208ca27ab6499,1429733,cie/models/feature_only/cie_feature_only_all_cie_feature_only/cie_feature_only_all_cie_feature_only_2026_08_02_15_48_39_0000--s-1/variant.json,65e5212bc73ca0d50a08c69c39014bf3768648720e31ac1400838943fa41559d,1,1,1,cie/data/policy_training/train,60,primaldualintegral,23,1
feature_only,2,cie/models/feature_only/cie_feature_only_all_cie_feature_only/cie_feature_only_all_cie_feature_only_2026_08_02_16_39_22_0000--s-2/itr_60.pkl,bb7f774de1df9037869d2ea70cc807a6b9359ff67f0677b01e5f0c4581e8dbc7,1429733,cie/models/feature_only/cie_feature_only_all_cie_feature_only/cie_feature_only_all_cie_feature_only_2026_08_02_16_39_22_0000--s-2/variant.json,1a4ba27155874d2e8d6caae8bee61e3b46fb3d9e9c5596a773280c7cd91f402c,2,2,2,cie/data/policy_training/train,60,primaldualintegral,23,1
feature_only,3,cie/models/feature_only/cie_feature_only_all_cie_feature_only/cie_feature_only_all_cie_feature_only_2026_08_02_16_48_20_0000--s-3/itr_60.pkl,50cd7abe450ba134240e7cca33e71333d5c586017be35bd80a7677b006741058,1429733,cie/models/feature_only/cie_feature_only_all_cie_feature_only/cie_feature_only_all_cie_feature_only_2026_08_02_16_48_20_0000--s-3/variant.json,810f712dfed691c3059682160e9e1419fffe24cb4302f4e5e85f41b9584a3f86,3,3,3,cie/data/policy_training/train,60,primaldualintegral,23,1
feature_only,4,cie/models/feature_only/cie_feature_only_all_cie_feature_only/cie_feature_only_all_cie_feature_only_2026_08_02_17_00_43_0000--s-4/itr_60.pkl,210cc8296a27be66893f7114cd749dab83bea65f098ab0816221ae76704aaae7,1429733,cie/models/feature_only/cie_feature_only_all_cie_feature_only/cie_feature_only_all_cie_feature_only_2026_08_02_17_00_43_0000--s-4/variant.json,92e2f8b4765e089537a647433a5d787e32aea40d91b248a00644514bcafe70fd,4,4,4,cie/data/policy_training/train,60,primaldualintegral,23,1
feature_only,5,cie/models/feature_only/cie_feature_only_all_cie_feature_only/cie_feature_only_all_cie_feature_only_2026_08_02_17_13_09_0000--s-5/itr_60.pkl,e0da1cce93d7940728635405b8626f30a1d2951753c582f93833e57b4340c8d2,4310481,cie/models/feature_only/cie_feature_only_all_cie_feature_only/cie_feature_only_all_cie_feature_only_2026_08_02_17_13_09_0000--s-5/variant.json,04e715a11efec36ab2b46beb6be3b7a6299139a7d77fe166ad8b25e991ddffe7,5,5,5,cie/data/policy_training/train,60,primaldualintegral,23,1
