train 1th process seed,evaluate 1th process seed,training_highlevel_policy/Neg Reward Mean,training_highlevel_policy/Neg Reward Std,training_highlevel_policy/Neg Reward Max,training_highlevel_policy/Neg Reward Min,training_highlevel_policy/Neg Advantage,training_highlevel_policy/logprobs Mean,training_highlevel_policy/logprobs Std,training_highlevel_policy/logprobs Max,training_highlevel_policy/logprobs Min,training_highlevel_policy/cut_percent_actions Mean,training_highlevel_policy/cut_percent_actions Std,training_highlevel_policy/cut_percent_actions Max,training_highlevel_policy/cut_percent_actions Min,training_highlevel_policy/reinforce loss,training_highlevel_policy/Critic Value,training_highlevel_policypre_log_prob Mean,training_highlevel_policypre_log_prob Std,training_highlevel_policypre_log_prob Max,training_highlevel_policypre_log_prob Min,training_highlevel_policymean Mean,training_highlevel_policymean Std,training_highlevel_policymean Max,training_highlevel_policymean Min,training_highlevel_policystd Mean,training_highlevel_policystd Std,training_highlevel_policystd Max,training_highlevel_policystd Min,training_highlevel_policyentropy Mean,training_highlevel_policyentropy Std,training_highlevel_policyentropy Max,training_highlevel_policyentropy Min,pos_1_entropy,Epoch,training/Neg Reward Mean,training/Neg Reward Std,training/Neg Reward Max,training/Neg Reward Min,training/Neg Advantage,training/logprobs Mean,training/logprobs Std,training/logprobs Max,training/logprobs Min,training/reinforce loss,training/Critic Value,training/len cuts Mean,training/len cuts Std,training/len cuts Max,training/len cuts Min,training/cut 1 th feature Mean,training/cut 1 th feature Std,training/cut 1 th feature Max,training/cut 1 th feature Min,training/cut 2 th feature Mean,training/cut 2 th feature Std,training/cut 2 th feature Max,training/cut 2 th feature Min,training/cut 3 th feature Mean,training/cut 3 th feature Std,training/cut 3 th feature Max,training/cut 3 th feature Min,training/cut 4 th feature Mean,training/cut 4 th feature Std,training/cut 4 th feature Max,training/cut 4 th feature Min,training/cut 5 th feature Mean,training/cut 5 th feature Std,training/cut 5 th feature Max,training/cut 5 th feature Min,training/cut 6 th feature Mean,training/cut 6 th feature Std,training/cut 6 th feature Max,training/cut 6 th feature Min,training/cut 7 th feature Mean,training/cut 7 th feature Std,training/cut 7 th feature Max,training/cut 7 th feature Min,training/cut 8 th feature Mean,training/cut 8 th feature Std,training/cut 8 th feature Max,training/cut 8 th feature Min,training/cut 9 th feature Mean,training/cut 9 th feature Std,training/cut 9 th feature Max,training/cut 9 th feature Min,training/cut 10 th feature Mean,training/cut 10 th feature Std,training/cut 10 th feature Max,training/cut 10 th feature Min,training/cut 11 th feature Mean,training/cut 11 th feature Std,training/cut 11 th feature Max,training/cut 11 th feature Min,training/cut 12 th feature Mean,training/cut 12 th feature Std,training/cut 12 th feature Max,training/cut 12 th feature Min,training/cut 13 th feature Mean,training/cut 13 th feature Std,training/cut 13 th feature Max,training/cut 13 th feature Min,training/sel cuts num Mean,training/sel cuts num Std,training/sel cuts num Max,training/sel cuts num Min,training/solving_time Mean,training/solving_time Std,training/solving_time Max,training/solving_time Min,training/ntotal_nodes Mean,training/ntotal_nodes Std,training/ntotal_nodes Max,training/ntotal_nodes Min,training/primal_dual_gap Mean,training/primal_dual_gap Std,training/primal_dual_gap Max,training/primal_dual_gap Min,training/primaldualintegral Mean,training/primaldualintegral Std,training/primaldualintegral Max,training/primaldualintegral Min,time/evaluating (s),time/online_testing (s),time/sampling data (s),time/training (s),time/epoch (s),time/total (s)
717354021,1061650667,78.5,32.592176975464525,130.0,45.0,0.0,-0.83088547,0.14615329,-0.58023393,-0.94228846,-0.16978036263026297,0.36267863762778757,0.2940974831581116,-0.6933212280273438,4.495997428894043,78.5,-1.0366045087575912,0.117200578242873,-0.9423437118530273,-1.2354944944381714,-0.06947404146194458,0.0,-0.06947404146194458,-0.06947404146194458,1.0218000411987305,0.0,1.0218000411987305,1.0218000411987305,1.4405043125152588,0.0,1.4405043125152588,1.4405043125152588,5.642661094665527,1,78.5,32.592176975464525,130.0,45.0,0.0,-670.6837,413.39417,-111.52123,-1263.7539,1037.058837890625,78.5,285.0,0.0,285,285,3.698919094811559e-05,0.0003639210437126952,0.004366770592191464,0.0,0.37882988578777105,0.2966047641111522,0.9952436840466916,0.0003298502229653072,0.004520968408397313,0.008120503837304704,0.03464944830826083,0.0016116022468958527,0.6153825092986219,0.20415734637278676,0.9999750006249845,0.2499375156210947,3.1362444161024827,2.9069148021705344,9.090909090909092,5.4792059642408484e-05,0.15737059823480223,0.5098682326353294,1.0,-1.0,0.9635305854386021,0.37290746880594317,2.0,-1.0,-0.35568038207880454,0.46047108247131713,1.0,-2.0,0.5709463337943975,0.1676975658228908,1.3437096247164249,0.0,0.0007336757153338224,1.0842021724855044e-19,0.0007336757153338225,0.0007336757153338225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027076510766318337,1.0408340855860843e-17,0.027076510766318326,0.027076510766318326,130.5,85.63439729454514,258,20,78.5,32.592176975464525,130.0,45.0,30550.25,13724.330883052186,51906,14239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8999999999991246e-06,0.004952300000000243,313.7381845,3.1297343000000524,316.872873,316.8730353000001
712789579,547502149,78.5,32.592176975464525,130.0,45.0,0.0,-0.83088547,0.14615329,-0.58023393,-0.94228846,-0.16978036263026297,0.36267863762778757,0.2940974831581116,-0.6933212280273438,4.495997428894043,78.5,-1.0366045087575912,0.117200578242873,-0.9423437118530273,-1.2354944944381714,-0.06947404146194458,0.0,-0.06947404146194458,-0.06947404146194458,1.0218000411987305,0.0,1.0218000411987305,1.0218000411987305,1.4405043125152588,0.0,1.4405043125152588,1.4405043125152588,5.646458148956299,2,130.25,37.35890121510535,191.0,89.0,46.57499694824219,-606.6278,452.97452,-16.891344,-1068.7308,-14659.8203125,83.675,285.0,0.0,285,285,3.698919094811559e-05,0.0003639210437126952,0.004366770592191464,0.0,0.37882988578777105,0.2966047641111522,0.9952436840466916,0.0003298502229653072,0.004520968408397313,0.008120503837304704,0.03464944830826083,0.0016116022468958527,0.6153825092986219,0.20415734637278676,0.9999750006249845,0.2499375156210947,3.1362444161024827,2.9069148021705344,9.090909090909092,5.4792059642408484e-05,0.15737059823480223,0.5098682326353294,1.0,-1.0,0.9635305854386021,0.37290746880594317,2.0,-1.0,-0.35568038207880454,0.46047108247131713,1.0,-2.0,0.5709463337943975,0.1676975658228908,1.3437096247164249,0.0,0.0007336757153338224,1.0842021724855044e-19,0.0007336757153338225,0.0007336757153338225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027076510766318337,1.0408340855860843e-17,0.027076510766318326,0.027076510766318326,116.5,88.65241113472324,208,3,130.25,37.35890121510535,191.0,89.0,50470.0,17920.668528266462,80239,32330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999999843392288e-06,0.004519899999991139,521.0680835,2.4132070999999087,523.4858121999998,840.3696945999998
65968473,399065700,101.5,48.43810483493342,177.0,53.0,20.699996948242188,-0.5631079,0.24703714,-0.32035923,-0.8869812,0.2726775333285332,0.6879049822901723,0.9572632908821106,-0.5662447214126587,-14.074877738952637,80.80000000000001,-1.8544924557209015,0.8334411865921325,-0.9490600824356079,-2.801496982574463,-0.040268946439027786,0.0,-0.040268946439027786,-0.040268946439027786,1.0084372758865356,0.0,1.0084372758865356,1.0084372758865356,1.4273403882980347,0.0,1.4273403882980347,1.4273403882980347,5.647477626800537,3,101.5,48.43810483493342,177.0,53.0,16.042503356933594,-705.1768,359.05258,-362.6985,-1305.7557,-8209.072265625,85.45750000000001,285.0,0.0,285,285,3.698919094811559e-05,0.0003639210437126952,0.004366770592191464,0.0,0.37882988578777105,0.2966047641111522,0.9952436840466916,0.0003298502229653072,0.004520968408397313,0.008120503837304704,0.03464944830826083,0.0016116022468958527,0.6153825092986219,0.20415734637278676,0.9999750006249845,0.2499375156210947,3.1362444161024827,2.9069148021705344,9.090909090909092,5.4792059642408484e-05,0.15737059823480223,0.5098682326353294,1.0,-1.0,0.9635305854386021,0.37290746880594317,2.0,-1.0,-0.35568038207880454,0.46047108247131713,1.0,-2.0,0.5709463337943975,0.1676975658228908,1.3437096247164249,0.0,0.0007336757153338224,1.0842021724855044e-19,0.0007336757153338225,0.0007336757153338225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027076510766318337,1.0408340855860843e-17,0.027076510766318326,0.027076510766318326,137.5,79.60684643923537,272,66,101.5,48.43810483493342,177.0,53.0,36907.5,20078.922898153676,69495,18397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000636675395e-06,0.008192599999915728,406.0512212,3.3659964999999374,409.4254120999999,1249.8071811999998
785794700,1041226708,101.5,48.43810483493342,177.0,53.0,20.699996948242188,-0.5631079,0.24703714,-0.32035923,-0.8869812,0.2726775333285332,0.6879049822901723,0.9572632908821106,-0.5662447214126587,-14.074877738952637,80.80000000000001,-1.8544924557209015,0.8334411865921325,-0.9490600824356079,-2.801496982574463,-0.040268946439027786,0.0,-0.040268946439027786,-0.040268946439027786,1.0084372758865356,0.0,1.0084372758865356,1.0084372758865356,1.4273403882980347,0.0,1.4273403882980347,1.4273403882980347,5.646637916564941,4,81.0,29.16333314283537,130.0,55.0,-4.011749267578125,-831.5678,245.95259,-587.1848,-1212.582,1053.4755859375,85.01175,285.0,0.0,285,285,3.698919094811559e-05,0.0003639210437126952,0.004366770592191464,0.0,0.37882988578777105,0.2966047641111522,0.9952436840466916,0.0003298502229653072,0.004520968408397313,0.008120503837304704,0.03464944830826083,0.0016116022468958527,0.6153825092986219,0.20415734637278676,0.9999750006249845,0.2499375156210947,3.1362444161024827,2.9069148021705344,9.090909090909092,5.4792059642408484e-05,0.15737059823480223,0.5098682326353294,1.0,-1.0,0.9635305854386021,0.37290746880594317,2.0,-1.0,-0.35568038207880454,0.46047108247131713,1.0,-2.0,0.5709463337943975,0.1676975658228908,1.3437096247164249,0.0,0.0007336757153338224,1.0842021724855044e-19,0.0007336757153338225,0.0007336757153338225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027076510766318337,1.0408340855860843e-17,0.027076510766318326,0.027076510766318326,160.0,53.16483800407935,244,109,81.0,29.16333314283537,130.0,55.0,30033.75,11252.025203824422,49322,20980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3999999686784577e-06,0.006975400000101217,324.2601397000001,3.488709500000141,327.7558280000003,1577.5743804
643531643,992617984,75.25,20.104414938017968,104.0,49.0,-4.995002746582031,-0.71991706,0.20338218,-0.38593197,-0.9327248,-0.47471189638599753,0.29658060813970927,-0.028468197211623192,-0.8591036796569824,0.5535831451416016,80.245,-1.2043877840042114,0.30735208198929825,-0.9335345029830933,-1.7255644798278809,-0.012862332165241241,0.0,-0.012862332165241241,-0.012862332165241241,1.014582872390747,0.0,1.014582872390747,1.014582872390747,1.4334161281585693,0.0,1.4334161281585693,1.4334161281585693,5.644920349121094,5,75.25,20.104414938017968,104.0,49.0,-8.785575866699219,-466.23987,327.31567,-118.35325,-962.8753,2940.166748046875,84.035575,285.0,0.0,285,285,3.698919094811559e-05,0.0003639210437126952,0.004366770592191464,0.0,0.37882988578777105,0.2966047641111522,0.9952436840466916,0.0003298502229653072,0.004520968408397313,0.008120503837304704,0.03464944830826083,0.0016116022468958527,0.6153825092986219,0.20415734637278676,0.9999750006249845,0.2499375156210947,3.1362444161024827,2.9069148021705344,9.090909090909092,5.4792059642408484e-05,0.15737059823480223,0.5098682326353294,1.0,-1.0,0.9635305854386021,0.37290746880594317,2.0,-1.0,-0.35568038207880454,0.46047108247131713,1.0,-2.0,0.5709463337943975,0.1676975658228908,1.3437096247164249,0.0,0.0007336757153338224,1.0842021724855044e-19,0.0007336757153338225,0.0007336757153338225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027076510766318337,1.0408340855860843e-17,0.027076510766318326,0.027076510766318326,87.25,63.6017884968654,185,21,75.25,20.104414938017968,104.0,49.0,29080.5,8610.055676358894,41459,17891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8999999156221747e-06,0.006463499999881606,300.7111705,2.0419984999998633,302.75963439999964,1880.3431942
900271817,458998904,75.25,20.104414938017968,104.0,49.0,-4.995002746582031,-0.71991706,0.20338218,-0.38593197,-0.9327248,-0.47471189638599753,0.29658060813970927,-0.028468197211623192,-0.8591036796569824,0.5535831451416016,80.245,-1.2043877840042114,0.30735208198929825,-0.9335345029830933,-1.7255644798278809,-0.012862332165241241,0.0,-0.012862332165241241,-0.012862332165241241,1.014582872390747,0.0,1.014582872390747,1.014582872390747,1.4334161281585693,0.0,1.4334161281585693,1.4334161281585693,5.644395351409912,6,92.25,31.107675901616307,145.0,69.0,7.392982482910156,-807.71436,358.71637,-323.23938,-1245.3715,-8402.7109375,84.8570175,285.0,0.0,285,285,3.698919094811559e-05,0.0003639210437126952,0.004366770592191464,0.0,0.37882988578777105,0.2966047641111522,0.9952436840466916,0.0003298502229653072,0.004520968408397313,0.008120503837304704,0.03464944830826083,0.0016116022468958527,0.6153825092986219,0.20415734637278676,0.9999750006249845,0.2499375156210947,3.1362444161024827,2.9069148021705344,9.090909090909092,5.4792059642408484e-05,0.15737059823480223,0.5098682326353294,1.0,-1.0,0.9635305854386021,0.37290746880594317,2.0,-1.0,-0.35568038207880454,0.46047108247131713,1.0,-2.0,0.5709463337943975,0.1676975658228908,1.3437096247164249,0.0,0.0007336757153338224,1.0842021724855044e-19,0.0007336757153338225,0.0007336757153338225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027076510766318337,1.0408340855860843e-17,0.027076510766318326,0.027076510766318326,156.75,75.19100677607662,252,58,92.25,31.107675901616307,145.0,69.0,33969.75,12273.956419488379,54297,23516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999949504854e-06,0.005897899999808942,368.84552559999975,3.534396700000343,372.3858221999999,2252.7386275000003
517330807,1025836499,88.5,32.56148031032987,128.0,40.0,7.429496765136719,-0.58363175,0.22727817,-0.24380517,-0.86509377,0.4943081736564636,0.515607318932283,0.9335560202598572,-0.381894588470459,-0.7686128616333008,81.0705,-1.5023246109485626,0.4825895327301837,-1.022733449935913,-2.295832633972168,-0.005429446697235107,0.0,-0.005429446697235107,-0.005429446697235107,1.0300159454345703,0.0,1.0300159454345703,1.0300159454345703,1.4485127925872803,0.0,1.4485127925872803,1.4485127925872803,5.644773960113525,7,88.5,32.56148031032987,128.0,40.0,3.2786865234375,-609.1789,442.74347,-28.254501,-1242.472,-16127.658203125,85.22131574999999,285.0,0.0,285,285,3.698919094811559e-05,0.0003639210437126952,0.004366770592191464,0.0,0.37882988578777105,0.2966047641111522,0.9952436840466916,0.0003298502229653072,0.004520968408397313,0.008120503837304704,0.03464944830826083,0.0016116022468958527,0.6153825092986219,0.20415734637278676,0.9999750006249845,0.2499375156210947,3.1362444161024827,2.9069148021705344,9.090909090909092,5.4792059642408484e-05,0.15737059823480223,0.5098682326353294,1.0,-1.0,0.9635305854386021,0.37290746880594317,2.0,-1.0,-0.35568038207880454,0.46047108247131713,1.0,-2.0,0.5709463337943975,0.1676975658228908,1.3437096247164249,0.0,0.0007336757153338224,1.0842021724855044e-19,0.0007336757153338225,0.0007336757153338225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027076510766318337,1.0408340855860843e-17,0.027076510766318326,0.027076510766318326,118.0,90.23580220732788,252,5,88.5,32.56148031032987,128.0,40.0,32898.25,11174.466505721874,44977,15509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2999997781880666e-06,0.01074349999998958,354.34983950000014,2.6758592999999564,357.03644459999987,2609.7876066
343334551,237469282,88.5,32.56148031032987,128.0,40.0,7.429496765136719,-0.58363175,0.22727817,-0.24380517,-0.86509377,0.4943081736564636,0.515607318932283,0.9335560202598572,-0.381894588470459,-0.7686128616333008,81.0705,-1.5023246109485626,0.4825895327301837,-1.022733449935913,-2.295832633972168,-0.005429446697235107,0.0,-0.005429446697235107,-0.005429446697235107,1.0300159454345703,0.0,1.0300159454345703,1.0300159454345703,1.4485127925872803,0.0,1.4485127925872803,1.4485127925872803,5.6451640129089355,8,107.0,40.08116764766216,173.0,65.0,19.600814819335938,-974.5052,309.65924,-438.73938,-1171.6901,-22308.033203125,87.39918417499999,285.0,0.0,285,285,3.698919094811559e-05,0.0003639210437126952,0.004366770592191464,0.0,0.37882988578777105,0.2966047641111522,0.9952436840466916,0.0003298502229653072,0.004520968408397313,0.008120503837304704,0.03464944830826083,0.0016116022468958527,0.6153825092986219,0.20415734637278676,0.9999750006249845,0.2499375156210947,3.1362444161024827,2.9069148021705344,9.090909090909092,5.4792059642408484e-05,0.15737059823480223,0.5098682326353294,1.0,-1.0,0.9635305854386021,0.37290746880594317,2.0,-1.0,-0.35568038207880454,0.46047108247131713,1.0,-2.0,0.5709463337943975,0.1676975658228908,1.3437096247164249,0.0,0.0007336757153338224,1.0842021724855044e-19,0.0007336757153338225,0.0007336757153338225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027076510766318337,1.0408340855860843e-17,0.027076510766318326,0.027076510766318326,191.0,64.16774890862231,232,80,107.0,40.08116764766216,173.0,65.0,39965.0,15366.690388629557,65328,24119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000000222324161e-06,0.006384799999977986,428.2810085000001,3.920943900000111,432.2083392000004,3042.005542400001
541285605,322171146,110.25,39.57508686029634,139.0,42.0,26.261550903320312,-0.6960238,0.30240294,-0.20427728,-0.9471916,-0.34907978400588036,0.45324009675182503,0.11607709527015686,-0.9412767291069031,-29.652130126953125,83.98844999999999,-1.373331755399704,0.5881495196650165,-0.9514977931976318,-2.3758418560028076,-0.008370965719223022,0.0,-0.008370965719223022,-0.008370965719223022,1.0304328203201294,0.0,1.0304328203201294,1.0304328203201294,1.4489173889160156,0.0,1.4489173889160156,1.4489173889160156,5.644820690155029,9,110.25,39.57508686029634,139.0,42.0,20.56573486328125,-720.98804,317.09613,-356.5341,-1211.4878,-22933.50390625,89.68426575749999,285.0,0.0,285,285,3.698919094811559e-05,0.0003639210437126952,0.004366770592191464,0.0,0.37882988578777105,0.2966047641111522,0.9952436840466916,0.0003298502229653072,0.004520968408397313,0.008120503837304704,0.03464944830826083,0.0016116022468958527,0.6153825092986219,0.20415734637278676,0.9999750006249845,0.2499375156210947,3.1362444161024827,2.9069148021705344,9.090909090909092,5.4792059642408484e-05,0.15737059823480223,0.5098682326353294,1.0,-1.0,0.9635305854386021,0.37290746880594317,2.0,-1.0,-0.35568038207880454,0.46047108247131713,1.0,-2.0,0.5709463337943975,0.1676975658228908,1.3437096247164249,0.0,0.0007336757153338224,1.0842021724855044e-19,0.0007336757153338225,0.0007336757153338225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027076510766318337,1.0408340855860843e-17,0.027076510766318326,0.027076510766318326,138.0,66.45675285477014,243,65,110.25,39.57508686029634,139.0,42.0,38962.0,14534.808271869293,51254,14196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3999999686784577e-06,0.005046499999934895,440.9592149,2.9563202999997884,443.9205850999997,3485.9356517
420352513,16031672,110.25,39.57508686029634,139.0,42.0,26.261550903320312,-0.6960238,0.30240294,-0.20427728,-0.9471916,-0.34907978400588036,0.45324009675182503,0.11607709527015686,-0.9412767291069031,-29.652130126953125,83.98844999999999,-1.373331755399704,0.5881495196650165,-0.9514977931976318,-2.3758418560028076,-0.008370965719223022,0.0,-0.008370965719223022,-0.008370965719223022,1.0304328203201294,0.0,1.0304328203201294,1.0304328203201294,1.4489173889160156,0.0,1.4489173889160156,1.4489173889160156,5.643971920013428,10,137.5,51.37363136863112,221.0,82.0,43.03416442871094,-1016.72687,270.86133,-728.36835,-1331.224,-53527.88671875,94.46583918174998,285.0,0.0,285,285,3.698919094811559e-05,0.0003639210437126952,0.004366770592191464,0.0,0.37882988578777105,0.2966047641111522,0.9952436840466916,0.0003298502229653072,0.004520968408397313,0.008120503837304704,0.03464944830826083,0.0016116022468958527,0.6153825092986219,0.20415734637278676,0.9999750006249845,0.2499375156210947,3.1362444161024827,2.9069148021705344,9.090909090909092,5.4792059642408484e-05,0.15737059823480223,0.5098682326353294,1.0,-1.0,0.9635305854386021,0.37290746880594317,2.0,-1.0,-0.35568038207880454,0.46047108247131713,1.0,-2.0,0.5709463337943975,0.1676975658228908,1.3437096247164249,0.0,0.0007336757153338224,1.0842021724855044e-19,0.0007336757153338225,0.0007336757153338225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027076510766318337,1.0408340855860843e-17,0.027076510766318326,0.027076510766318326,203.25,64.25486362914484,282,136,137.5,51.37363136863112,221.0,82.0,54127.5,19064.35503105206,84281,32563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999997569655534e-06,0.0044445999997151375,549.8700709,4.00032659999988,553.8748437999993,4039.8214365999997
