train 1th process seed,evaluate 1th process seed,training_highlevel_policy/Neg Reward Mean,training_highlevel_policy/Neg Reward Std,training_highlevel_policy/Neg Reward Max,training_highlevel_policy/Neg Reward Min,training_highlevel_policy/Neg Advantage,training_highlevel_policy/logprobs Mean,training_highlevel_policy/logprobs Std,training_highlevel_policy/logprobs Max,training_highlevel_policy/logprobs Min,training_highlevel_policy/cut_percent_actions Mean,training_highlevel_policy/cut_percent_actions Std,training_highlevel_policy/cut_percent_actions Max,training_highlevel_policy/cut_percent_actions Min,training_highlevel_policy/reinforce loss,training_highlevel_policy/Critic Value,training_highlevel_policypre_log_prob Mean,training_highlevel_policypre_log_prob Std,training_highlevel_policypre_log_prob Max,training_highlevel_policypre_log_prob Min,training_highlevel_policymean Mean,training_highlevel_policymean Std,training_highlevel_policymean Max,training_highlevel_policymean Min,training_highlevel_policystd Mean,training_highlevel_policystd Std,training_highlevel_policystd Max,training_highlevel_policystd Min,training_highlevel_policyentropy Mean,training_highlevel_policyentropy Std,training_highlevel_policyentropy Max,training_highlevel_policyentropy Min,pos_1_entropy,Epoch,training/Neg Reward Mean,training/Neg Reward Std,training/Neg Reward Max,training/Neg Reward Min,training/Neg Advantage,training/logprobs Mean,training/logprobs Std,training/logprobs Max,training/logprobs Min,training/reinforce loss,training/Critic Value,training/len cuts Mean,training/len cuts Std,training/len cuts Max,training/len cuts Min,training/cut 1 th feature Mean,training/cut 1 th feature Std,training/cut 1 th feature Max,training/cut 1 th feature Min,training/cut 2 th feature Mean,training/cut 2 th feature Std,training/cut 2 th feature Max,training/cut 2 th feature Min,training/cut 3 th feature Mean,training/cut 3 th feature Std,training/cut 3 th feature Max,training/cut 3 th feature Min,training/cut 4 th feature Mean,training/cut 4 th feature Std,training/cut 4 th feature Max,training/cut 4 th feature Min,training/cut 5 th feature Mean,training/cut 5 th feature Std,training/cut 5 th feature Max,training/cut 5 th feature Min,training/cut 6 th feature Mean,training/cut 6 th feature Std,training/cut 6 th feature Max,training/cut 6 th feature Min,training/cut 7 th feature Mean,training/cut 7 th feature Std,training/cut 7 th feature Max,training/cut 7 th feature Min,training/cut 8 th feature Mean,training/cut 8 th feature Std,training/cut 8 th feature Max,training/cut 8 th feature Min,training/cut 9 th feature Mean,training/cut 9 th feature Std,training/cut 9 th feature Max,training/cut 9 th feature Min,training/cut 10 th feature Mean,training/cut 10 th feature Std,training/cut 10 th feature Max,training/cut 10 th feature Min,training/cut 11 th feature Mean,training/cut 11 th feature Std,training/cut 11 th feature Max,training/cut 11 th feature Min,training/cut 12 th feature Mean,training/cut 12 th feature Std,training/cut 12 th feature Max,training/cut 12 th feature Min,training/cut 13 th feature Mean,training/cut 13 th feature Std,training/cut 13 th feature Max,training/cut 13 th feature Min,training/cut 14 th feature Mean,training/cut 14 th feature Std,training/cut 14 th feature Max,training/cut 14 th feature Min,training/cut 15 th feature Mean,training/cut 15 th feature Std,training/cut 15 th feature Max,training/cut 15 th feature Min,training/cut 16 th feature Mean,training/cut 16 th feature Std,training/cut 16 th feature Max,training/cut 16 th feature Min,training/cut 17 th feature Mean,training/cut 17 th feature Std,training/cut 17 th feature Max,training/cut 17 th feature Min,training/cut 18 th feature Mean,training/cut 18 th feature Std,training/cut 18 th feature Max,training/cut 18 th feature Min,training/cut 19 th feature Mean,training/cut 19 th feature Std,training/cut 19 th feature Max,training/cut 19 th feature Min,training/cut 20 th feature Mean,training/cut 20 th feature Std,training/cut 20 th feature Max,training/cut 20 th feature Min,training/cut 21 th feature Mean,training/cut 21 th feature Std,training/cut 21 th feature Max,training/cut 21 th feature Min,training/cut 22 th feature Mean,training/cut 22 th feature Std,training/cut 22 th feature Max,training/cut 22 th feature Min,training/cut 23 th feature Mean,training/cut 23 th feature Std,training/cut 23 th feature Max,training/cut 23 th feature Min,training/sel cuts num Mean,training/sel cuts num Std,training/sel cuts num Max,training/sel cuts num Min,training/solving_time Mean,training/solving_time Std,training/solving_time Max,training/solving_time Min,training/ntotal_nodes Mean,training/ntotal_nodes Std,training/ntotal_nodes Max,training/ntotal_nodes Min,training/primal_dual_gap Mean,training/primal_dual_gap Std,training/primal_dual_gap Max,training/primal_dual_gap Min,training/primaldualintegral Mean,training/primaldualintegral Std,training/primaldualintegral Max,training/primaldualintegral Min,time/evaluating (s),time/online_testing (s),time/sampling data (s),time/training (s),time/epoch (s),time/total (s)
717354021,1061650667,15.0,13.038404810405298,29.0,1.0,0.0,-0.44525838,0.14645737,-0.26861048,-0.6545822,0.4061666429042816,0.7076490346747513,0.9046108722686768,-0.8094135522842407,0.34467077255249023,15.0,-1.6275021731853485,0.26746795287894604,-1.238674521446228,-1.9741177558898926,0.01925676316022873,0.0,0.01925676316022873,0.01925676316022873,1.033544898033142,0.0,1.033544898033142,1.033544898033142,1.4519330263137817,0.0,1.4519330263137817,1.4519330263137817,4.563389778137207,1,15.0,13.038404810405298,29.0,1.0,0.0,-257.4994,125.61884,-40.654625,-340.09634,817.713623046875,15.0,95.0,0.0,95,95,0.0,0.0,0.0,0.0,0.07742630184058645,0.03552493677950279,0.12771609425284192,0.01202731888127659,0.013289440460609377,0.012519759128343796,0.03499991250021875,0.00499998750003125,0.9996290457016002,0.00019430659878264008,0.9999285765302479,0.9995002498750625,0.0843491331251279,0.05754689149127929,0.16271876813125183,0.0035809343462260244,-0.24260651629072677,0.36847223972591936,0.0,-0.8461538461538461,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.8763180594622308,0.19348629270568984,1.0,0.5329387100211931,0.0009727626459143969,0.0,0.0009727626459143969,0.0009727626459143969,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.031173969569965102,6.938893903907228e-18,0.03117396956996511,0.03117396956996511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,66.5,33.455193916640205,90,9,15.0,13.038404810405298,29.0,1.0,43826.5,42266.01425199684,88369,527,0.0,0.0,0.0,0.0,179.86902748553211,147.3259873269914,368.8,15.53927797294267,1.7000002117129043e-06,0.0007393000005322392,59.55992630000037,0.829206699999304,60.38987400000042,60.39008020000074
712789579,547502149,15.0,13.038404810405298,29.0,1.0,0.0,-0.44525838,0.14645737,-0.26861048,-0.6545822,0.4061666429042816,0.7076490346747513,0.9046108722686768,-0.8094135522842407,0.34467077255249023,15.0,-1.6275021731853485,0.26746795287894604,-1.238674521446228,-1.9741177558898926,0.01925676316022873,0.0,0.01925676316022873,0.01925676316022873,1.033544898033142,0.0,1.033544898033142,1.033544898033142,1.4519330263137817,0.0,1.4519330263137817,1.4519330263137817,4.563565254211426,2,8.25,11.431863365173676,28.0,1.0,-6.074999809265137,-161.51079,137.2769,-22.697773,-318.2702,-9.83538818359375,14.325,95.0,0.0,95,95,0.0,0.0,0.0,0.0,0.07742630184058645,0.03552493677950279,0.12771609425284192,0.01202731888127659,0.013289440460609377,0.012519759128343796,0.03499991250021875,0.00499998750003125,0.9996290457016002,0.00019430659878264008,0.9999285765302479,0.9995002498750625,0.0843491331251279,0.05754689149127929,0.16271876813125183,0.0035809343462260244,-0.24260651629072677,0.36847223972591936,0.0,-0.8461538461538461,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.8763180594622308,0.19348629270568984,1.0,0.5329387100211931,0.0009727626459143969,0.0,0.0009727626459143969,0.0009727626459143969,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.031173969569965102,6.938893903907228e-18,0.03117396956996511,0.03117396956996511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,40.0,34.806608567914225,81,5,8.25,11.431863365173676,28.0,1.0,23562.0,36295.38357009056,86333,998,0.0,0.0,0.0,0.0,153.54886363636365,122.68412740656522,359.2,35.79545454545455,1.600000359758269e-06,0.0010020999998232583,33.61405500000001,0.3644256999996287,33.97948439999982,94.3888391999999
65968473,399065700,7.25,9.093266739736606,23.0,2.0,-6.975000381469727,-0.81569725,0.20137893,-0.46740735,-0.9457954,-0.33873351383954287,0.3074146012348154,-0.0379355289041996,-0.8499411940574646,5.006473541259766,14.225,-1.165689542889595,0.337205740082954,-0.9472345113754272,-1.748977780342102,0.04508412629365921,0.0,0.04508412629365921,0.04508412629365921,1.0253322124481201,0.0,1.0253322124481201,1.0253322124481201,1.4439551830291748,0.0,1.4439551830291748,1.4439551830291748,4.563581466674805,3,7.25,9.093266739736606,23.0,2.0,-6.367500305175781,-134.73148,61.545216,-31.74623,-193.17183,551.0910034179688,13.6175,95.0,0.0,95,95,0.0,0.0,0.0,0.0,0.07742630184058645,0.03552493677950279,0.12771609425284192,0.01202731888127659,0.013289440460609377,0.012519759128343796,0.03499991250021875,0.00499998750003125,0.9996290457016002,0.00019430659878264008,0.9999285765302479,0.9995002498750625,0.0843491331251279,0.05754689149127929,0.16271876813125183,0.0035809343462260244,-0.24260651629072677,0.36847223972591936,0.0,-0.8461538461538461,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.8763180594622308,0.19348629270568984,1.0,0.5329387100211931,0.0009727626459143969,0.0,0.0009727626459143969,0.0009727626459143969,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.031173969569965102,6.938893903907228e-18,0.03117396956996511,0.03117396956996511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,31.0,14.404860290887934,45,7,7.25,9.093266739736606,23.0,2.0,19805.25,30256.609289335447,72176,724,0.0,0.0,0.0,0.0,128.75887808027235,74.01450187061216,246.99545454545148,42.76841598459316,1.7999991541728377e-06,0.0011721000000761705,28.71004559999983,0.40563960000054067,29.1168590999996,123.52400089999992
785794700,1041226708,7.25,9.093266739736606,23.0,2.0,-6.975000381469727,-0.81569725,0.20137893,-0.46740735,-0.9457954,-0.33873351383954287,0.3074146012348154,-0.0379355289041996,-0.8499411940574646,5.006473541259766,14.225,-1.165689542889595,0.337205740082954,-0.9472345113754272,-1.748977780342102,0.04508412629365921,0.0,0.04508412629365921,0.04508412629365921,1.0253322124481201,0.0,1.0253322124481201,1.0253322124481201,1.4439551830291748,0.0,1.4439551830291748,1.4439551830291748,4.563642501831055,4,9.75,14.00669482783144,34.0,1.0,-3.480750322341919,-110.2758,125.007744,-9.142447,-323.83136,709.6515502929688,13.23075,95.0,0.0,95,95,0.0,0.0,0.0,0.0,0.07742630184058645,0.03552493677950279,0.12771609425284192,0.01202731888127659,0.013289440460609377,0.012519759128343796,0.03499991250021875,0.00499998750003125,0.9996290457016002,0.00019430659878264008,0.9999285765302479,0.9995002498750625,0.0843491331251279,0.05754689149127929,0.16271876813125183,0.0035809343462260244,-0.24260651629072677,0.36847223972591936,0.0,-0.8461538461538461,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.8763180594622308,0.19348629270568984,1.0,0.5329387100211931,0.0009727626459143969,0.0,0.0009727626459143969,0.0009727626459143969,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.031173969569965102,6.938893903907228e-18,0.03117396956996511,0.03117396956996511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,27.25,32.51441987795569,83,2,9.75,14.00669482783144,34.0,1.0,30385.5,50283.470179075746,117475,873,0.0,0.0,0.0,0.0,188.37419354838704,142.03754864022855,434.29677419354834,100.0,1.7999991541728377e-06,0.0011530000001584995,38.55310999999983,0.4061197999999422,38.96038459999909,162.50292379999883
643531643,992617984,8.75,12.295832627357937,30.0,1.0,-4.927499771118164,-0.684635,0.24630432,-0.3870772,-0.9342207,-0.05487665627151728,0.597667201587705,0.8380187749862671,-0.835659921169281,1.8046716451644897,13.6775,-1.2974025905132294,0.3507390719358085,-0.9347242116928101,-1.694100260734558,0.04444614052772522,0.0,0.04444614052772522,0.04444614052772522,1.0137003660202026,0.0,1.0137003660202026,1.0137003660202026,1.4325459003448486,0.0,1.4325459003448486,1.4325459003448486,4.563722133636475,5,8.75,12.295832627357937,30.0,1.0,-4.032674789428711,-181.78983,107.23996,-31.725449,-333.34213,778.843017578125,12.782675000000001,95.0,0.0,95,95,0.0,0.0,0.0,0.0,0.07742630184058645,0.03552493677950279,0.12771609425284192,0.01202731888127659,0.013289440460609377,0.012519759128343796,0.03499991250021875,0.00499998750003125,0.9996290457016002,0.00019430659878264008,0.9999285765302479,0.9995002498750625,0.0843491331251279,0.05754689149127929,0.16271876813125183,0.0035809343462260244,-0.24260651629072677,0.36847223972591936,0.0,-0.8461538461538461,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.8763180594622308,0.19348629270568984,1.0,0.5329387100211931,0.0009727626459143969,0.0,0.0009727626459143969,0.0009727626459143969,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.031173969569965102,6.938893903907228e-18,0.03117396956996511,0.03117396956996511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,44.5,28.53506614676055,87,7,8.75,12.295832627357937,30.0,1.0,25788.25,40361.89565279981,95601,713,0.0,0.0,0.0,0.0,174.39999999999998,118.0399932226362,378.4,100.0,1.5000005078036338e-06,0.0008576000000175554,35.528436699999475,0.4746175000000221,36.00391330000002,198.52606019999803
900271817,458998904,8.75,12.295832627357937,30.0,1.0,-4.927499771118164,-0.684635,0.24630432,-0.3870772,-0.9342207,-0.05487665627151728,0.597667201587705,0.8380187749862671,-0.835659921169281,1.8046716451644897,13.6775,-1.2974025905132294,0.3507390719358085,-0.9347242116928101,-1.694100260734558,0.04444614052772522,0.0,0.04444614052772522,0.04444614052772522,1.0137003660202026,0.0,1.0137003660202026,1.0137003660202026,1.4325459003448486,0.0,1.4325459003448486,1.4325459003448486,4.563794136047363,6,1.25,0.4330127018922193,2.0,1.0,-10.37940788269043,-160.86612,128.71397,-9.14437,-321.03696,1647.326416015625,11.629407500000001,95.0,0.0,95,95,0.0,0.0,0.0,0.0,0.07742630184058645,0.03552493677950279,0.12771609425284192,0.01202731888127659,0.013289440460609377,0.012519759128343796,0.03499991250021875,0.00499998750003125,0.9996290457016002,0.00019430659878264008,0.9999285765302479,0.9995002498750625,0.0843491331251279,0.05754689149127929,0.16271876813125183,0.0035809343462260244,-0.24260651629072677,0.36847223972591936,0.0,-0.8461538461538461,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.8763180594622308,0.19348629270568984,1.0,0.5329387100211931,0.0009727626459143969,0.0,0.0009727626459143969,0.0009727626459143969,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.031173969569965102,6.938893903907228e-18,0.03117396956996511,0.03117396956996511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,39.5,32.72231654391235,82,2,1.25,0.4330127018922193,2.0,1.0,1036.5,639.8197011658831,1928,279,0.0,0.0,0.0,0.0,79.8,34.98742631289132,100.0,19.2,4.300000000512227e-06,0.0011759999997593695,5.603757799999585,0.37003919999915524,5.9749772999985,204.51956779999728
517330807,1025836499,20.0,32.334192428449484,76.0,1.0,5.690250396728516,-0.7352296,0.14890452,-0.5151696,-0.9234303,-0.3087962940335274,0.49722805985790486,0.46539437770843506,-0.8191846013069153,-0.04985690116882324,14.309750000000001,-1.2287715673446655,0.25492760509413864,-0.9747101068496704,-1.6270568370819092,0.04274967312812805,0.0,0.04274967312812805,0.04274967312812805,1.0209767818450928,0.0,1.0209767818450928,1.0209767818450928,1.439698338508606,0.0,1.439698338508606,1.439698338508606,4.563867568969727,7,20.0,32.334192428449484,76.0,1.0,7.533531665802002,-136.68106,94.494,-36.15924,-281.5509,871.3035278320312,12.46646675,95.0,0.0,95,95,0.0,0.0,0.0,0.0,0.07742630184058645,0.03552493677950279,0.12771609425284192,0.01202731888127659,0.013289440460609377,0.012519759128343796,0.03499991250021875,0.00499998750003125,0.9996290457016002,0.00019430659878264008,0.9999285765302479,0.9995002498750625,0.0843491331251279,0.05754689149127929,0.16271876813125183,0.0035809343462260244,-0.24260651629072677,0.36847223972591936,0.0,-0.8461538461538461,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.8763180594622308,0.19348629270568984,1.0,0.5329387100211931,0.0009727626459143969,0.0,0.0009727626459143969,0.0009727626459143969,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.031173969569965102,6.938893903907228e-18,0.03117396956996511,0.03117396956996511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,32.25,23.54118731075389,69,8,20.0,32.334192428449484,76.0,1.0,68843.75,117214.55998803007,271864,486,0.0,0.0,0.0,0.0,265.69210399614826,321.77048784138503,820.0,27.096774193548388,2.1999994714860804e-06,0.0009223000006386428,80.21688510000058,0.39503180000065186,80.61284140000134,285.1508475999981
343334551,237469282,20.0,32.334192428449484,76.0,1.0,5.690250396728516,-0.7352296,0.14890452,-0.5151696,-0.9234303,-0.3087962940335274,0.49722805985790486,0.46539437770843506,-0.8191846013069153,-0.04985690116882324,14.309750000000001,-1.2287715673446655,0.25492760509413864,-0.9747101068496704,-1.6270568370819092,0.04274967312812805,0.0,0.04274967312812805,0.04274967312812805,1.0209767818450928,0.0,1.0209767818450928,1.0209767818450928,1.439698338508606,0.0,1.439698338508606,1.439698338508606,4.563936710357666,8,9.0,12.186057606953941,30.0,1.0,-3.1198196411132812,-234.87106,92.70485,-132.09818,-333.40137,185.7735595703125,12.119820075000002,95.0,0.0,95,95,0.0,0.0,0.0,0.0,0.07742630184058645,0.03552493677950279,0.12771609425284192,0.01202731888127659,0.013289440460609377,0.012519759128343796,0.03499991250021875,0.00499998750003125,0.9996290457016002,0.00019430659878264008,0.9999285765302479,0.9995002498750625,0.0843491331251279,0.05754689149127929,0.16271876813125183,0.0035809343462260244,-0.24260651629072677,0.36847223972591936,0.0,-0.8461538461538461,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.8763180594622308,0.19348629270568984,1.0,0.5329387100211931,0.0009727626459143969,0.0,0.0009727626459143969,0.0009727626459143969,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.031173969569965102,6.938893903907228e-18,0.03117396956996511,0.03117396956996511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,58.5,26.119915773217954,87,30,9.0,12.186057606953941,30.0,1.0,27030.25,41640.82046126733,98957,381,0.0,0.0,0.0,0.0,92.43855083651925,114.95847688756943,288.0,9.6,2.599999788799323e-06,0.0009506000005785609,37.74774400000024,0.6783285000001342,38.42702570000074,323.59764149999774
541285605,322171146,2.25,1.6393596310755,5.0,1.0,-10.853775024414062,-0.8120557,0.08349397,-0.68291897,-0.9134644,-0.27450359612703323,0.40577837482647405,0.38039180636405945,-0.6848936676979065,8.713106155395508,13.103775,-1.10811185836792,0.1318743230875684,-0.989979088306427,-1.3160598278045654,0.04776352643966675,0.0,0.04776352643966675,0.04776352643966675,1.0201340913772583,0.0,1.0201340913772583,1.0201340913772583,1.4388725757598877,0.0,1.4388725757598877,1.4388725757598877,4.563999652862549,9,2.25,1.6393596310755,5.0,1.0,-8.882838249206543,-144.4268,77.5757,-62.978836,-267.96567,1290.17529296875,11.132838067500002,95.0,0.0,95,95,0.0,0.0,0.0,0.0,0.07742630184058645,0.03552493677950279,0.12771609425284192,0.01202731888127659,0.013289440460609377,0.012519759128343796,0.03499991250021875,0.00499998750003125,0.9996290457016002,0.00019430659878264008,0.9999285765302479,0.9995002498750625,0.0843491331251279,0.05754689149127929,0.16271876813125183,0.0035809343462260244,-0.24260651629072677,0.36847223972591936,0.0,-0.8461538461538461,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.8763180594622308,0.19348629270568984,1.0,0.5329387100211931,0.0009727626459143969,0.0,0.0009727626459143969,0.0009727626459143969,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.031173969569965102,6.938893903907228e-18,0.03117396956996511,0.03117396956996511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,33.75,19.395553614166314,65,14,2.25,1.6393596310755,5.0,1.0,3018.25,3024.5138762287074,7830,330,0.0,0.0,0.0,0.0,87.54387938331695,23.537180843380057,109.6,48.1651376146789,1.5000005078036338e-06,0.001051000000188651,8.606827900000098,0.3738896000004388,8.981770000001234,332.597368499999
420352513,16031672,2.25,1.6393596310755,5.0,1.0,-10.853775024414062,-0.8120557,0.08349397,-0.68291897,-0.9134644,-0.27450359612703323,0.40577837482647405,0.38039180636405945,-0.6848936676979065,8.713106155395508,13.103775,-1.10811185836792,0.1318743230875684,-0.989979088306427,-1.3160598278045654,0.04776352643966675,0.0,0.04776352643966675,0.04776352643966675,1.0201340913772583,0.0,1.0201340913772583,1.0201340913772583,1.4388725757598877,0.0,1.4388725757598877,1.4388725757598877,4.564061164855957,10,8.0,11.554220008291344,28.0,1.0,-2.819554328918457,-129.57811,97.142204,-9.08128,-267.8436,-537.8154907226562,10.819554260750003,95.0,0.0,95,95,0.0,0.0,0.0,0.0,0.07742630184058645,0.03552493677950279,0.12771609425284192,0.01202731888127659,0.013289440460609377,0.012519759128343796,0.03499991250021875,0.00499998750003125,0.9996290457016002,0.00019430659878264008,0.9999285765302479,0.9995002498750625,0.0843491331251279,0.05754689149127929,0.16271876813125183,0.0035809343462260244,-0.24260651629072677,0.36847223972591936,0.0,-0.8461538461538461,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.8763180594622308,0.19348629270568984,1.0,0.5329387100211931,0.0009727626459143969,0.0,0.0009727626459143969,0.0009727626459143969,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.031173969569965102,6.938893903907228e-18,0.03117396956996511,0.03117396956996511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999996287,1.9443094211688347e-13,0.9999999999999286,0.9999999999995,0.0,0.0,0.0,0.0,30.5,23.66960075708925,65,2,8.0,11.554220008291344,28.0,1.0,21957.5,35758.104189819685,83889,750,0.0,0.0,0.0,0.0,171.57419354838575,118.49240916690125,376.696774193543,100.0,1.5000005078036338e-06,0.0009182999992844998,32.2993749999996,0.31706819999999425,32.617362999999386,365.2329203999989
